Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
Vikram Garg,2,3,https://www.semanticscholar.org/author/Vikram-Garg/31445213,2,3,7,3,3,https://www.scopus.com/authid/detail.uri?authorId=42661320900,https://scholar.google.com/citations?user=z5aYHxAAAAAJ&hl=en,Myntra,Bengaluru,31,26,Data Mining Machine Learning Big Data
Rajesh Balakrishnan,2,0,https://www.semanticscholar.org/author/Rajesh-Balakrishnan/2666393,2,8,21,4,5,https://www.scopus.com/authid/detail.uri?authorId=23392144700,https://scholar.google.com/citations?user=ldscB5AAAAAJ&hl=en,Infosys,Bengaluru,126,85,Artificial intelligence Natural Language Processing
Ankit Gandhi,2,2,https://www.semanticscholar.org/author/Ankit-Gandhi/2757149,2,5,13,4,4,https://www.scopus.com/authid/detail.uri?authorId=57188767986,https://scholar.google.com/citations?user=IjvU4iIAAAAJ&hl=en,Amazon,Bengaluru,42,42,Machine Learning Computer Vision
Shreetam Behera,2,2,https://www.semanticscholar.org/author/Shreetam-Behera/2330639,1,3,9,3,3,https://www.scopus.com/authid/detail.uri?authorId=56417304100,https://scholar.google.com/citations?user=SVrpNx4AAAAJ&hl=en,IIT Bhubaneswar,Bhubhaneshwar,31,26,Computer Vision Visual SurveillanceMachine Learning On board camera embedded systems
Sohom Ghosh,2,2,https://www.semanticscholar.org/author/Sohom-Ghosh/3443330,1,5,3,1,1,https://www.scopus.com/authid/detail.uri?authorId=57020351900,https://scholar.google.com/citations?user=7Jm4_McAAAAJ&hl=en,BITS Pilani,Noida,3,3,Deep Learning Text Analytics Recommendation System
Narendhar Gugulothu,2,2,https://www.semanticscholar.org/author/Narendhar-Gugulothu/26376612,1,2,1,2,2,https://www.scopus.com/authid/detail.uri?authorId=57192994891,https://scholar.google.co.in/citations?user=WUIyA6wAAAAJ&hl=en,TCS,Noida,22,22,Deep Learning Machine Learning Time SeriesComputer Vision Pattern Recognition
Dhruv Khattar,2,2,https://www.semanticscholar.org/author/Dhruv-Khattar/2319272,1,9,5,3,3,https://www.scopus.com/authid/detail.uri?authorId=57197778724,https://scholar.google.com.sg/citations?user=_aa8RFMAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,21,21,
Sohil Shah,2,5,https://www.semanticscholar.org/author/Sohil-Atul-Shah/49485254,1,2,3,4,4,https://www.scopus.com/authid/detail.uri?authorId=24480145400,https://scholar.google.com/citations?user=OwT_8sQAAAAJ&hl=en,Anna University,Bengaluru,61,58,Numerical OptimizationArtificial intelligence Machine Learning
Yogesh Kulkarni,0,0,https://www.semanticscholar.org/author/Yogesh-H.-Kulkarni/37757545,,,,3,3,0,https://scholar.google.com/citations?user=RuELzwYAAAAJ&hl=en,COEP,Pune,20,20,Computer-aided DesignGeometric ModelingMidsurfaceMachine Learning Text Mining
Krothapalli Sreenivasa Rao,0,0,https://www.semanticscholar.org/author/Sreenivasa-Rao-Krothapalli/52069828,18,147,1256,25,29,https://www.scopus.com/authid/detail.uri?authorId=35093227600,https://scholar.google.com/citations?user=TATEL2EAAAAJ&hl=en,IIT Kharagpur,Kharagpur,3405,2225,Speech Processing Signal processing Multimedia Signal processing Machine Learning and Pattern Recognition
Shirish Subhash Karande,1,1,https://www.semanticscholar.org/author/Shirish-Subhash-Karande/32068330,11,60,381,6,15,https://www.scopus.com/authid/detail.uri?authorId=7003529124,https://scholar.google.com/citations?user=LeHCh80AAAAJ&hl=en,"TRDDC, TCS Research",Pune,705,151,Information TheoryMultimediaNetwork SciencesHuman Computation Machine Learning
Nandyala Hemachandra,1,5,https://www.semanticscholar.org/author/Nandyala-Hemachandra/1783631,9,47,254,7,12,https://www.scopus.com/authid/detail.uri?authorId=6602415719,https://scholar.google.com/citations?user=jaby8lgAAAAJ&hl=en,IIT Bombay,Mumbai,526,253,Markov decision models Queueing theory Game theory Stochastic approximations Machine Learning
A.P. Ruhil,1,0,https://www.semanticscholar.org/author/A.P.-Ruhil/13536415,7,29,198,7,7,https://www.scopus.com/authid/detail.uri?authorId=14008061700,https://scholar.google.com/citations?user=vY0Hz70AAAAJ&hl=en,NDRI,Karnal,388,173,artificial neural networks E_LearningComputer Networks Online examination psychometric analysis
Kunal Banerjee,1,2,https://www.semanticscholar.org/author/Kunal-Banerjee/31265941,6,32,103,8,9,https://www.scopus.com/authid/detail.uri?authorId=55321714500,https://scholar.google.com/citations?user=HuhlMFiXS-wC&hl=en,Intel India,Bengaluru,177,169,Program Analysis Formal Methods Software Verification High-Performance Computing Deep Learning
Vivek Vaidya,0,0,https://www.semanticscholar.org/author/Vivek-Vaidya/39635943,5,19,70,7,9,https://www.scopus.com/authid/detail.uri?authorId=14023521400,https://scholar.google.com/citations?user=Zz9VPK4AAAAJ&hl=en,Symphony AI,Bengaluru,217,185,AI Deep Learning Pattern Recognition Machine Learning
Karamjit Singh,1,1,https://www.semanticscholar.org/author/Karamjit-Singh/34074268,3,17,31,2,2,https://www.scopus.com/authid/detail.uri?authorId=55450577100,https://scholar.google.co.in/citations?user=sG9HhKsAAAAJ&hl=en,Accenture,Gurgaon,31,31,Machine Learning Artificial intelligence Deep Learning Data Analytics Probabilistic Graphical Models
Rama Syamala Sreepada,1,2,https://www.semanticscholar.org/author/Rama-Syamala-Sreepada/9154897,2,6,8,2,2,https://www.scopus.com/authid/detail.uri?authorId=56568087800,https://scholar.google.com.au/citations?user=Exjzy_sAAAAJ&hl=en,National Institute of Technology Rourkela,Rourkela,15,15,Recommender Systems Data Mining Machine Learning
Neha Prabhugaonkar,1,1,https://www.semanticscholar.org/author/Neha-Prabhugaonkar/2747339,1,4,1,2,2,https://www.scopus.com/authid/detail.uri?authorId=56287249900,https://scholar.google.com/citations?user=7j895u0AAAAJ&hl=en,Cuddle Inc.,Mumbai,20,20,Natural Language Processing Machine Learning Artificial LearningSemantic WebSpeech recognition
Apurva Nagvenkar,1,1,https://www.semanticscholar.org/author/Apurva-Nagvenkar/2509205,1,3,1,2,2,https://www.scopus.com/authid/detail.uri?authorId=56286796000,https://scholar.google.com/citations?user=fqNc1xYAAAAJ&hl=en,Goa University,Mumbai,19,19,Natural Language Processing Computational Linguistics Machine Learning
Tejinder Singh Saini,1,1,https://www.semanticscholar.org/author/Tejinder-Singh-Saini/2311738,1,4,2,4,4,https://www.scopus.com/authid/detail.uri?authorId=36997440600,https://scholar.google.co.in/citations?user=4WHXGZwAAAAJ&hl=en,Punjab University,Patiala,56,36,Artificial Intelligence Natural Language Processing Machine Transliteration Translation
Sridhar Pappu,,,,12,15,602,7,12,https://www.scopus.com/authid/detail.uri?authorId=7004304217,https://scholar.google.com/citations?user=bCBPtsYAAAAJ&hl=en,INSOFE,Hyderabad,790,236,High Strain Rate Deformation BehaviorMicrostructural Characterization Simulations Data Science Statistics
Ranjan Dasgupta,0,0,https://www.semanticscholar.org/author/Ranjan-Dasgupta/2805807,6,24,80,7,8,https://www.scopus.com/authid/detail.uri?authorId=7005395347,https://scholar.google.com/citations?user=63ds8_oAAAAJ&hl=en,TCS,South 24 Parganas,152,133,Embedded SystemRTOSRobotics & Machine Learning AI & Ontology
G.M. Nasira,0,,,5,43,117,9,9,https://www.scopus.com/authid/detail.uri?authorId=36632634600,https://scholar.google.com/citations?user=nXh0evYAAAAJ&hl=en,Professor Chikkanna Govt. College,Tiruppur,387,357,artificial neural networks Data Mining Optimization. Soft Computing
Ritesh Ratti,0,3,https://www.semanticscholar.org/author/Ritesh-Ratti/34332204,4,5,50,3,4,https://www.scopus.com/authid/detail.uri?authorId=36171198900,https://scholar.google.com/citations?user=LgOa2lsAAAAJ&hl=en,Pitney Bowes,Guwahati,81,44,Network SecurityData Mining Database SecurityWeb servicesMachine Learning
Pragati Kapoor,0,,,4,13,92,6,6,https://www.scopus.com/authid/detail.uri?authorId=7005498568,https://scholar.google.com/citations?user=umBc02IAAAAJ&hl=en,Lingaya's University,Faridabad,190,150,Image Processing artificial neural networks Image Segmentation
Krishnendu Chaudhury,0,0,https://www.semanticscholar.org/author/Krishnendu-Chaudhury/3265634,4,9,30,5,7,https://www.scopus.com/authid/detail.uri?authorId=6603855801,https://scholar.google.co.in/citations?user=UtrHmKcAAAAJ&hl=en,Drishti Technologies,Bengaluru,227,131,Deep Learning Computer Vision Image Processing
V.P. Subramanyam Rallabandi,0,0,https://www.semanticscholar.org/author/V.P.-Subramanyam-Rallabandi/49720043,3,5,123,8,8,https://www.scopus.com/authid/detail.uri?authorId=23986093700,https://scholar.google.com/citations?user=LF-poJwAAAAJ&hl=en,National Brain Research Centre,Gurgaon,311,198,artificial neural networks Medical Imaging and Image Processing Machine Learning Big Data Analytics Modeling and Simulation
Nazreen P M,0,0,https://www.semanticscholar.org/author/P.-M.-Nazreen/51585512,,,,1,1,,https://scholar.google.co.in/citations?user=RIp232QAAAAJ&hl=en,IISc Bangalore,Bengaluru,4,4,
Rebeck Carvalho,0,1,https://www.semanticscholar.org/author/Rebeck-Carvalho/27444556,3,5,30,4,4,https://www.scopus.com/authid/detail.uri?authorId=50861180100,https://scholar.google.com/citations?user=NqcyrPoAAAAJ&hl=en,IIT Bombay,Mumbai,58,52,Artificial intelligence medical decision support system
Aditya Ramana Rachakonda,0,4,https://www.semanticscholar.org/author/Aditya-Ramana-Rachakonda/2111100,2,4,8,3,4,https://www.scopus.com/authid/detail.uri?authorId=15045672100,https://scholar.google.com/citations?hl=en&user=Wgxv7k8AAAAJ&view_op=list_works&sortby=pubdate,Flipkart,Bengaluru,42,22,Semantics CognitionText Mining Machine Learning
Neelamadhav Gantayat,0,0,https://www.semanticscholar.org/author/Neelamadhav-Gantayat/3350685,2,9,18,4,4,https://www.scopus.com/authid/detail.uri?authorId=51161373600,https://scholar.google.co.in/citations?user=UO_jORIAAAAJ&hl=en,IBM India,Bengaluru,35,32,Natural Language Processing Machine Learning Deep Learning
Sanatan Sukhija,0,0,https://www.semanticscholar.org/author/Sanatan-Sukhija/3431031,2,7,12,2,2,https://www.scopus.com/authid/detail.uri?authorId=56031839000,https://scholar.google.co.in/citations?user=e9SN71UAAAAJ&hl=en,IIT Ropar,Rupnagar,25,25,Machine Learning Transfer Learning
Niyati Chhaya,0,1,https://www.semanticscholar.org/author/Niyati-Chhaya/2954043,2,7,9,3,3,https://www.scopus.com/authid/detail.uri?authorId=42761192000,https://scholar.google.com/citations?user=BWf7328AAAAJ&hl=en,ADOBE,Bengaluru,32,27,Computational Linguistics Natural Language Processing Affect Analysis Machine Learning information retrieval
Bharath Cheluvaraju,0,0,https://www.semanticscholar.org/author/Bharath-Cheluvaraju/2021713,2,3,9,3,3,https://www.scopus.com/authid/detail.uri?authorId=43661113000,https://scholar.google.com/citations?user=J5Sy1yUAAAAJ&hl=en,SigTuple,Bengaluru,34,25,Machine Learning Game TheoryGraph TheoryScalable Algorithms
Nishtha Madaan,0,1,https://www.semanticscholar.org/author/Nishtha-Madaan/2742670,2,8,6,3,3,https://www.scopus.com/authid/detail.uri?authorId=56780038800,https://scholar.google.com/citations?user=yd3R2X4AAAAJ&hl=en,IBM,Delhi,12,12,Natural Language Processing Deep Learning Information Extraction Bias in AI
Sumant Kulkarni,0,3,https://www.semanticscholar.org/author/Sumant-Kulkarni/2727602,1,5,7,3,3,https://www.scopus.com/authid/detail.uri?authorId=55908871500,https://scholar.google.co.in/citations?user=jnBs9yIAAAAJ&hl=en,Zensar Technologies,Bengaluru,26,24,Natural Language Processing Text Mining SemanticsCognitive ComputingComputer Vision
Shubham Atreja,0,1,https://www.semanticscholar.org/author/Shubham-Atreja/47033576,1,5,12,1,1,https://www.scopus.com/authid/detail.uri?authorId=57190983985,https://scholar.google.com/citations?user=qzvVYIcAAAAJ&hl=en,IBM,Bengaluru,18,18,"Machine Learning, Knowledge Discovery, Data Mining"
Subba Reddy Oota,0,1,https://www.semanticscholar.org/author/Subba-Reddy-Oota/8307724,1,6,335,2,2,https://www.scopus.com/authid/detail.uri?authorId=57192392333,https://scholar.google.com.au/citations?user=4Uz0LngAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,9,9,Machine Learning Brain Decoding Natural Language Processing
Vijayasaradhi Indurthi,0,0,https://www.semanticscholar.org/author/Vijayasaradhi-Indurthi/7259599,1,4,1,1,1,https://www.scopus.com/authid/detail.uri?authorId=57192388743,https://scholar.google.com.au/citations?user=dTyC24YAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,4,4,Natural Language Processing Machine Learning information retrieval
Rameshwar Pratap,0,2,https://www.semanticscholar.org/author/Rameshwar-Pratap/2848825,1,7,3,1,2,https://www.scopus.com/authid/detail.uri?authorId=55216677600,https://scholar.google.co.in/citations?user=I6ld6XoAAAAJ&hl=en,Wipro Technologies,Bengaluru,12,11,Algorithms in Data Mining and Machine Learning
Chinnappa Guggilla,0,0,https://www.semanticscholar.org/author/Chinnappa-Guggilla/8455876,1,3,5,5,5,https://www.scopus.com/authid/detail.uri?authorId=57136754400,https://scholar.google.co.in/citations?user=zYHeWYkAAAAJ&hl=en,Accenture,Bengaluru,57,51,AI Natural Language Processing Text Mining IE&IR and Machine Learning
Arpit Merchant,0,1,https://www.semanticscholar.org/author/Arpit-Merchant/32009009,0,2,0,2,2,https://www.scopus.com/authid/detail.uri?authorId=57194775438,https://scholar.google.co.in/citations?user=-aPMoN8AAAAJ&hl=en,IIIT Hyderabad,Mumbai,16,16,Data ScienceMachine Learning
Yogesh Parte,0,,,,,,2,3,0,https://scholar.google.com/citations?user=Zx1n2xQAAAAJ&hl=en,IISc,Mumbai,31,6,Model and data couplingApproximations in high dimensionsInverse design
Rohit Keshari,0,0,https://www.semanticscholar.org/author/Rohit-Keshari/3390448,,,,3,3,0,https://scholar.google.com/citations?user=Ib_LM-8AAAAJ&hl=en,IIIT Delhi,New Delhi,19,19,Machine Learning Biometrics Pattern Recognition
Shiju S S,0,,,,,,2,2,0,https://scholar.google.com/citations?user=Q1uJZBkAAAAJ&hl=en,IIST,Thiruvananthapuram,6,6,Machine Learning Kernel MethodsArtificial intelligence
Santanu Modak,0,,,,,,1,1,0,https://scholar.google.com/citations?user=p51bKXMAAAAJ&hl=en,Burdwan University,Hooghly,7,7,Sentiment Analysis Opinion Mininginformation retrieval Text ClassificationNatural Language Processing
Sumit Borar,0,0,https://www.semanticscholar.org/author/Sumit-Borar/41097640,,,,2,2,,https://scholar.google.com.sg/citations?hl=en&user=05w9yF4AAAAJ&view_op=list_works&sortby=pubdate,Myntra,Bengaluru,112,25,Machine Learning VisionSearch
