Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
Narayanan Chatapuram Krishnan,65,59,https://www.semanticscholar.org/author/Narayanan-Chatapuram-Krishnan/2503137,11,30,914,15,16,https://www.scopus.com/authid/detail.uri?authorId=17345971000,https://scholar.google.co.in/citations?user=rqkXaRAAAAAJ&hl=en,IIT Ropar,Rupnagar,1779,1572,Transfer Learning Machine Learning Pervasive Computing Ubiquitous Computing
Zainul Charbiwala,64,64,https://www.semanticscholar.org/author/Zainul-Charbiwala/3347485,12,37,582,15,17,https://www.scopus.com/authid/detail.uri?authorId=24469614600,https://scholar.google.co.in/citations?hl=en&user=10RVXDQAAAAJ&view_op=list_works&sortby=pubdate,Tricog Health,Bengaluru,1180,636,Embedded Systems Energy Efficiency Low Power Smart Healthcare Smart Grids
Ganesh Ramakrishnan,64,97,https://www.semanticscholar.org/author/Ganesh-Ramakrishnan/1697088,10,66,495,10,16,https://www.scopus.com/authid/detail.uri?authorId=12140784800,https://scholar.google.com/citations?user=W1ZpREMAAAAJ&hl=en,IIT Bombay,Mumbai,1263,660,Machine Learning Relational Learning Information Extraction Question Answering Text Analytics
Sparsh Mittal,61,58,https://www.semanticscholar.org/author/Sparsh-Mittal/38918006,16,59,976,21,23,https://www.scopus.com/authid/detail.uri?authorId=36158412700,https://scholar.google.com/citations?user=Hz44YrEAAAAJ&hl=en,IIT Hyderabad,Hyderabad,2122,1930,Deep Learning Machine Learning Computer architecture Autonomous Driving Non-volatile Memory
Giriprasad Sridhara,61,76,https://www.semanticscholar.org/author/Giriprasad-Sridhara/3023667,7,16,487,N/A,N/A,https://www.scopus.com/authid/detail.uri?authorId=25229447400,https://scholar.google.co.in/citations?user=Rq5lkpIAAAAJ&hl=en,IBM India,Bengaluru,N/A,N/A,Computer Vision Video Surveillance Advanced Driver Assistance System
Soma Biswas,59,59,https://www.semanticscholar.org/author/Soma-Biswas/2642508,16,59,904,16,19,https://www.scopus.com/authid/detail.uri?authorId=22233340600,https://scholar.google.com/citations?user=xtgxW9gAAAAJ&hl=en,IISc,Bengaluru,1313,916,Computer Vision Pattern Recognition Image Processing
"Namboodiri, Anoop M.",58,56,https://www.semanticscholar.org/author/Anoop-M.-Namboodiri/3185334,11,76,560,14,18,https://www.scopus.com/authid/detail.uri?authorId=6601976755,https://scholar.google.com/citations?user=mpI3sbYAAAAJ&hl=en,IIIT Hyderabad,Hyderabad,1352,675,Computer Vision Pattern Recognition Machine Learning Biometrics
Pankaj Malhotra,58,55,https://www.semanticscholar.org/author/Pankaj-Malhotra/2082153,3,7,113,8,8,https://www.scopus.com/authid/detail.uri?authorId=55892692400,https://scholar.google.com/citations?user=HP4M0MkAAAAJ&hl=en,TCS,Gautam Buddha Nagar,408,406,Machine Learning Deep Learning Time Series Anomaly Detection
Lovekesh Vig,55,51,https://www.semanticscholar.org/author/Lovekesh-Vig/3213990,9,42,489,13,13,https://www.scopus.com/authid/detail.uri?authorId=14120320900,https://scholar.google.com/citations?user=M5MIeROF8JYC&hl=en,TCS,New Delhi,1019,699,Multiple Robot SystemsCognitive Modeling Machine Learning
Kalika Bali,53,53,https://www.semanticscholar.org/author/Kalika-Bali/3086996,9,27,242,,,https://www.scopus.com/authid/detail.uri?authorId=16052071200,,Microsoft,Bengaluru,,,
Ashish Sharma,51,57,https://www.semanticscholar.org/author/Ashish-Sharma/40091064,8,63,395,2,2,https://www.scopus.com/authid/detail.uri?authorId=57199494606,https://scholar.google.com/citations?user=AHUNnG0AAAAJ&hl=en,"IIT Kharagpur, Microsoft",Bengaluru,13,13,Natural Language Processing Computational Social ScienceBehavior Modellinginformation retrieval
Gargi Banerjee Dasgupta,51,50,https://www.semanticscholar.org/author/Gargi-Dasgupta/1805410,7,46,172,13,17,https://www.scopus.com/authid/detail.uri?authorId=35519470900,https://scholar.google.com/citations?user=6sAEBOsAAAAJ&hl=en,IBM India,Bengaluru,1245,726,"Operational Analytics, Data Mining, Machine Learning, Distributed Systems"
